Date Interrogation,Date Vol,Liaison,Vol,Depart,Arrivee,Light (€),Standard (€),Top (€)
02/08/2026,09/08/2026,AJA-MRS,XK156,20:40,21:30,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,BIA-CDG,XK1603,11:25,13:15,290.25,316.25,342.25
02/08/2026,09/08/2026,BIA-ORY,XK1201,09:25,11:10,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK1207,10:20,12:05,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK782,10:40,12:20,327.76,353.76,379.76
02/08/2026,09/08/2026,BIA-ORY,XK1203,14:50,16:35,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK786,19:05,20:45,327.76,353.76,379.76
02/08/2026,09/08/2026,BIA-ORY,XK7599,20:10,21:55,294.76,320.76,346.76
02/08/2026,09/08/2026,AJA-TLS,XK720,10:30,12:15,248.05,261.05,284.05
02/08/2026,09/08/2026,AJA-LYS,XK130,11:55,13:00,164.05,180.05,206.05
02/08/2026,09/08/2026,AJA-NCE,XK102,07:30,08:20,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-NCE,XK104,15:35,16:25,311.56,323.56,342.56
02/08/2026,09/08/2026,AJA-NCE,XK106,18:20,19:10,311.56,323.56,342.56
02/08/2026,09/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK154,15:55,16:45,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK156,20:40,21:30,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-LYS,XK130,11:55,13:00,164.05,180.05,206.05
02/08/2026,09/08/2026,AJA-NCE,XK102,07:30,08:20,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-NCE,XK104,15:35,16:25,311.56,323.56,342.56
02/08/2026,09/08/2026,AJA-NCE,XK106,18:20,19:10,311.56,323.56,342.56
02/08/2026,09/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK154,15:55,16:45,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK156,20:40,21:30,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
01/08/2026,08/08/2026,NCE-AJA,XK101,09:00,09:50,247.26,272.26,291.26
01/08/2026,08/08/2026,NCE-AJA,XK5230,09:50,10:40,303.26,315.26,334.26
01/08/2026,08/08/2026,NCE-AJA,XK5210,12:05,12:55,303.26,315.26,334.26
01/08/2026,08/08/2026,NCE-AJA,XK105,20:10,21:00,266.26,291.26,311.26
01/08/2026,08/08/2026,MRS-AJA,XK151,08:50,09:40,246.94,271.94,290.94
01/08/2026,08/08/2026,MRS-AJA,XK153,12:40,13:30,246.94,271.94,290.94
01/08/2026,08/08/2026,MRS-AJA,XK157,22:05,22:55,246.94,271.94,290.94
01/08/2026,08/08/2026,CDG-AJA,XK1500,18:30,20:15,290.49,316.49,342.49
01/08/2026,08/08/2026,ORY-AJA,XK1134,07:50,09:30,293.05,319.05,345.05
01/08/2026,08/08/2026,ORY-AJA,XK771,08:25,10:00,326.12,352.12,378.12
01/08/2026,08/08/2026,ORY-AJA,XK1132,12:00,13:40,293.05,319.05,345.05
01/08/2026,08/08/2026,ORY-AJA,XK1100,12:35,14:15,293.05,319.05,345.05
01/08/2026,08/08/2026,ORY-AJA,XK531,15:10,16:45,326.12,352.12,378.12
01/08/2026,08/08/2026,ORY-AJA,XK1102,17:45,19:25,293.05,319.05,345.05
01/08/2026,08/08/2026,ORY-AJA,XK1104,18:10,19:50,293.05,319.05,345.05
01/08/2026,08/08/2026,ORY-AJA,XK777,21:50,23:25,326.12,352.12,378.12
01/08/2026,08/08/2026,CLY-NCE,XK312,12:00,12:40,313.2,325.2,344.2
01/08/2026,08/08/2026,CLY-MRS,XK350,07:00,08:00,257.2,282.2,301.2
01/08/2026,08/08/2026,CLY-MRS,XK650,10:55,11:55,313.2,325.2,344.2
01/08/2026,08/08/2026,CLY-MRS,XK352,14:20,15:20,313.2,325.2,344.2
01/08/2026,08/08/2026,CLY-MRS,XK652,17:25,18:25,257.2,282.2,301.2
01/08/2026,08/08/2026,FSC-NCE,XK402,08:15,09:15,311.84,323.84,342.84
01/08/2026,08/08/2026,FSC-ORY,XK1407,09:35,11:25,294.73,320.73,346.73
01/08/2026,08/08/2026,FSC-ORY,XK5700,12:45,14:30,327.73,353.73,379.73
01/08/2026,08/08/2026,FSC-ORY,XK1401,14:35,16:25,294.73,320.73,346.73
01/08/2026,08/08/2026,FSC-ORY,XK5720,18:20,20:05,327.73,353.73,379.73
01/08/2026,08/08/2026,FSC-ORY,XK1403,20:25,22:15,294.73,320.73,346.73
01/08/2026,08/08/2026,BIA-LYS,XK232,10:45,11:50,178.38,194.38,220.38
01/08/2026,08/08/2026,BIA-LYS,XK234,13:50,15:20,178.38,194.38,220.38
01/08/2026,08/08/2026,BIA-MRS,XK250,07:00,07:55,255.87,280.87,299.87
01/08/2026,08/08/2026,BIA-MRS,XK256,20:05,21:00,255.87,280.87,299.87
01/08/2026,08/08/2026,BIA-ORY,XK780,06:00,07:40,327.76,353.76,379.76
01/08/2026,08/08/2026,BIA-ORY,XK5400,07:30,09:10,327.76,353.76,379.76
01/08/2026,08/08/2026,BIA-ORY,XK1201,09:30,11:15,294.76,320.76,346.76
01/08/2026,08/08/2026,BIA-ORY,XK1207,10:30,12:15,294.76,320.76,346.76
01/08/2026,08/08/2026,BIA-ORY,XK784,15:00,16:40,327.76,353.76,379.76
01/08/2026,08/08/2026,BIA-ORY,XK1203,15:35,17:20,294.76,320.76,346.76
01/08/2026,08/08/2026,BIA-ORY,XK1205,19:45,21:30,359.76,385.76,411.76
01/08/2026,08/08/2026,AJA-TLS,XK720,15:00,16:15,206.05,221.05,246.05
01/08/2026,08/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
01/08/2026,08/08/2026,AJA-MRS,XK152,10:45,11:35,311.56,323.56,342.56
01/08/2026,08/08/2026,AJA-MRS,XK156,20:10,21:00,274.56,299.56,319.56
01/08/2026,08/08/2026,AJA-CDG,XK1501,21:15,23:00,289.92,315.92,341.92
01/08/2026,08/08/2026,AJA-ORY,XK770,06:00,07:40,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1135,10:15,12:00,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK530,12:25,14:05,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1133,14:30,16:15,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK1101,15:05,16:50,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK776,19:05,20:45,392.43,418.43,444.43
01/08/2026,08/08/2026,AJA-ORY,XK1103,20:10,21:55,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK1105,20:45,22:30,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
01/08/2026,08/08/2026,AJA-MRS,XK152,10:45,11:35,311.56,323.56,342.56
01/08/2026,08/08/2026,AJA-MRS,XK156,20:10,21:00,274.56,299.56,319.56
01/08/2026,08/08/2026,AJA-CDG,XK1501,21:15,23:00,289.92,315.92,341.92
01/08/2026,08/08/2026,AJA-ORY,XK770,06:00,07:40,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1135,10:15,12:00,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK530,12:25,14:05,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1133,14:30,16:15,294.43,320.43,346.43
